SKU,Product Name,Product Description,External Image URL,Wordpress Media Library URL
370150,Nike Boys Thermal Cover-Up,"For lightweight, allover warmth and temperature regulation, this cover-up excels with Therma-FIT fabric. The chevron design across the chest provides interesting two-tone color detail. Distinctive contrast color at the neck and zipper, plus a brushed interior makes this versatile layering piece a golfing essential. Details include a reverse coil zip-through collar, open cuffs and an open hem. The contrast Swoosh design trademark is embroidered on the upper left sleeve. Made of 10.2-ounce, 100% polyester Therma-FIT fabric.",https://images-na.ssl-images-amazon.com/images/I/71Cm5lyeedL._AC_UY695_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike Boys Thermal Cover-Up.jpg
370150,Nike Boys Sport Print Polo,"Men's Silk Touch Golf Polo's in 16 Colors - Sizes XS-4XL . We took our legendary Silk Touch Polo and made it work even harder. The durable Silk Touch Performance Polo wicks moisture, resists snags and thanks to PosiCharge technology, holds onto its color for a professional look that lasts. There is just no higher performing polo at this price!",https://images-na.ssl-images-amazon.com/images/I/51l4pUMKqVL._AC_UX466_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike Boys Sport Print Polo.jpg
370150,Nike Girls SS Victory Polo,The Nike Victory Solid Women's Golf Polo has contoured seams and sweat-wicking fabric for a flattering fit and lasting comfort on the course.,https://images-na.ssl-images-amazon.com/images/I/51sD%2BZVEPiL._AC_UX569_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike Girls SS Victory Polo.jpg
370150,Nike Girls Printed Skort,"Match her advanced skills with winning style in the Nike Girls Printed Golf Skort. Nike Flex fabric comes together with an elastic waistband to create a fit that s secure, comfortable and allows for a full range of motion every time she steps foot on the course.",https://images-na.ssl-images-amazon.com/images/I/61jR5TMOgkL._AC_UX342_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike Girls Printed Skort.jpg
370150,Nike Girls Dri-Fit Skirt,"The Nike Power Big Kids' (Girls') Tennis Skirt combines a stretchy, sweat-wicking skirt and built shorts so you can feel comfortable and supported as you move about the court.",https://images-na.ssl-images-amazon.com/images/I/51Gr2RZnLiL._AC_UX425_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike Girls Dri-Fit Skirt.jpg
370150,Titleist JR Rope Hat,History-inspiredAuthentic silhouetteStylish rope detail across the visorOrganic cotton with raised embroideryClassic flat bill design with no curve,https://images-na.ssl-images-amazon.com/images/I/61qyUSELOfL._AC_UX425_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Titleist JR Rope Hat.jpg
370150,Puma JR Links Polo,"Bring some personality to the golf course in our signature Pounce Polo. Go subtle or opt for color. This go-to top provides moisture wicking properties and dry CELL technology to keep you comfortable and dry for a long day on the links. While your competition brings the heat, UV resistant threads will protect you from the sun's radiation.",https://images-na.ssl-images-amazon.com/images/I/71S0v0Fg09L._AC_UX679_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Puma JR Links Polo.jpg
370150,Puma JR P Cap,"PUMA Golf Kids Size Chart Protect yourself with casual-cool with the handsome PUMA® Golf Kids P Snapback Cap. Camouflage printed finish features ""P"" across center. Six-panel construction. Pre-curved brim. Snap-back closure with embroidered Cat logo. 97% polyester, 3% elastane. Hand wash, dry flat. Imported. Measurements: Circumference: 24 in Brim: 2 1?2 in",https://images-na.ssl-images-amazon.com/images/I/71dffCvCxPL._AC_SX679_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Puma JR P Cap.jpg
370150,Puma JR Full Zip Jacket," Dry cell, highly functional materials draw sweat away from your skin and help keep you dry and comfortable during exercise • hood with draw cords for adjustability fixed below neckline • seasonal PUMA graphic centered on side panel of the hood • reflective PUMA cat heat transfer on center of left top sleeve for visibility in low light conditions • full reversible zip  with zipper garage for comfort • woven pocket in all over graphic print with reversible zip on the left chest • elastic at hem and cuffs for comfort • dry cell heat transfer logo on left back hem • regular fit ",https://images-na.ssl-images-amazon.com/images/I/91OGuj2anLL._AC_UX679_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Puma JR Full Zip Jacket.jpg
370150,Puma Boys 5 Pocket Pant,"A golf essential, the 5 pocket golf pant is engineered to provide comfort, fit and performance to golfers of all abilities. A UV resistant finish Shields your skin from the sun, while dry cell technology draws sweat away from your skin to keep you dry and comfortable during golf. Tee it up with confidence in the pant strategically designed to secure your winning scorecard.",https://images-na.ssl-images-amazon.com/images/I/71eRYywuF6L._AC_UY550_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Puma Boys 5 Pocket Pant.jpg
